test_id,prompt_type,think_mode,run,prompt_tokens,prompt_tps,gen_tokens,gen_tps,total_sec,visible_chars,thinking_chars
1a,direct,off,1,26,145.7,82,44.6,3.64,318,0
1a,direct,off,2,26,514.6,82,44.1,2.07,318,0
1a,direct,off,3,26,555.1,82,43.6,2.08,318,0
1b,direct,on,1,32,164.8,515,42.2,12.64,287,1578
1b,direct,on,2,32,796.0,479,42.6,11.52,287,1305
1b,direct,on,3,32,682.7,384,42.1,9.39,287,1027
1c,analytical,off,1,38,193.0,1243,39.8,31.82,5566,0
1c,analytical,off,2,38,831.7,1138,39.9,28.94,4829,0
1c,analytical,off,3,38,789.8,1069,40.1,27.10,4791,0
1d,analytical,on,1,44,213.2,2165,38.1,57.68,5462,3652
1d,analytical,on,2,44,716.2,2226,37.9,59.46,5235,3673
1d,analytical,on,3,44,636.2,2367,37.6,63.68,5605,3431
2a,direct,off,1,21,137.6,146,43.6,3.68,818,0
2a,direct,off,2,21,458.8,169,42.7,4.18,887,0
2a,direct,off,3,21,470.5,169,42.3,4.23,867,0
2b,direct,on,1,27,155.6,827,41.1,20.61,819,3164
2b,direct,on,2,27,382.6,798,41.6,19.56,976,2931
2b,direct,on,3,27,562.6,664,41.9,16.19,815,2499
2c,analytical,off,1,42,209.4,1214,39.8,31.14,5335,0
2c,analytical,off,2,42,914.5,1038,40.2,26.27,4586,0
2c,analytical,off,3,42,822.8,1104,39.6,28.32,4741,0
2d,analytical,on,1,48,232.2,2336,37.9,62.45,5600,4094
2d,analytical,on,2,48,787.8,2141,37.9,57.12,5447,3703
2d,analytical,on,3,48,876.2,2262,37.8,60.57,5545,4296
3a,direct,off,1,35,189.8,31,45.1,1.03,76,0
3a,direct,off,2,35,911.9,31,43.9,0.90,76,0
3a,direct,off,3,35,748.6,31,40.5,0.97,76,0
3b,direct,on,1,41,211.4,354,42.3,8.78,76,1133
3b,direct,on,2,41,905.7,607,41.3,15.03,465,1675
3b,direct,on,3,41,898.1,391,42.7,9.44,76,1264
3c,analytical,off,1,47,238.2,1239,39.8,31.76,5215,0
3c,analytical,off,2,47,744.3,1306,39.2,33.81,5486,0
3c,analytical,off,3,47,1002.9,1503,38.8,39.25,6337,0
3d,analytical,on,1,53,260.6,2356,37.9,63.11,5525,4131
3d,analytical,on,2,53,1049.5,2146,38.0,57.18,5434,3590
3d,analytical,on,3,53,1074.8,2319,37.7,62.21,5460,4051
